Question Type,LOC (in each question post),Type
code blocks w/o stack trace,46,Question Type
code blocks w/o stack trace,28,Question Type
code blocks w/o stack trace,88,Question Type
code blocks w/o stack trace,48,Question Type
code blocks w/o stack trace,10,Question Type
code blocks w/o stack trace,260,Question Type
code blocks w/o stack trace,4,Question Type
code blocks w/o stack trace,22,Question Type
code blocks w/o stack trace,6,Question Type
code blocks w/o stack trace,26,Question Type
code blocks w/o stack trace,10,Question Type
code blocks w/o stack trace,61,Question Type
code blocks w/o stack trace,9,Question Type
code blocks w/o stack trace,15,Question Type
code blocks w/o stack trace,29,Question Type
code blocks w/o stack trace,7,Question Type
code blocks w/o stack trace,36,Question Type
code blocks w/o stack trace,51,Question Type
code blocks w/o stack trace,49,Question Type
code blocks w/o stack trace,83,Question Type
code blocks w/o stack trace,36,Question Type
code blocks w/o stack trace,84,Question Type
code blocks w/o stack trace,9,Question Type
code blocks w/o stack trace,12,Question Type
code blocks w/o stack trace,49,Question Type
code blocks w/o stack trace,37,Question Type
code blocks w/o stack trace,13,Question Type
code blocks w/o stack trace,172,Question Type
code blocks w/o stack trace,38,Question Type
code blocks w/o stack trace,12,Question Type
code blocks w/o stack trace,16,Question Type
code blocks w/o stack trace,11,Question Type
code blocks w/o stack trace,3,Question Type
code blocks w/o stack trace,18,Question Type
code blocks w/o stack trace,78,Question Type
code blocks w/o stack trace,25,Question Type
code blocks w/o stack trace,11,Question Type
code blocks w/o stack trace,80,Question Type
code blocks w/o stack trace,78,Question Type
code blocks w/o stack trace,22,Question Type
code blocks w/o stack trace,9,Question Type
code blocks w/o stack trace,8,Question Type
code blocks w/o stack trace,14,Question Type
code blocks w/o stack trace,2,Question Type
code blocks w/o stack trace,25,Question Type
code blocks w/o stack trace,3,Question Type
code blocks w/o stack trace,6,Question Type
code blocks w/o stack trace,10,Question Type
code blocks w/o stack trace,41,Question Type
code blocks w/o stack trace,8,Question Type
code blocks w/o stack trace,18,Question Type
code blocks w/o stack trace,47,Question Type
code blocks w/o stack trace,151,Question Type
code blocks w/o stack trace,36,Question Type
code blocks w/o stack trace,5,Question Type
code blocks w/o stack trace,9,Question Type
code blocks w/o stack trace,4,Question Type
